
[length]	[occurances]	[englishSpeechRatio]	[isEnglish]	[fullURL]
14326	809	0.056470752478012004	true	https://steemit.com/purpose/@ndm/a-culture-of-victims-and-how-to-regain-power-in-your-life
13830	51	0.00368763557483731	false	https://steemit.com/architecture/@fjzart/la-forma
5794	230	0.03969623748705557	true	https://steemit.com/crypto/@vitriol4veritas/compounding-interest-relieves-stress
6917	81	0.011710279022697702	false	https://steemit.com/historia/@davidfranciscony/capitulo-1-el-diario-de-un-deseo-incomprendido
6230	44	0.007062600321027288	false	https://steemit.com/fotografia/@josefar/fotografia-se-puede-vivir-de-ella
12349	417	0.0337679164304802	true	https://steemit.com/cryptocurrencies/@emantas/10-revolutionary-crytpocurrency-projects-that-showcase-the-power-of-blockchain
5265	211	0.04007597340930674	true	https://steemit.com/crypto/@buhl/update-long-term-crypto-play-funfair-usdfun-one-of-best-erc-20-tokens-to-hold-through-2018
5471	269	0.049168342167793824	true	https://steemit.com/health/@namnag/how-i-use-sleep-tracking-to-help-with-sleep-deprivation
5206	244	0.04686899731079524	true	https://steemit.com/blog/@andreaa/how-to-write-good-blog-articles
5062	237	0.046819438956934016	true	https://steemit.com/africa/@rotimi1111/power-of-prayer
7905	336	0.04250474383301708	true	https://steemit.com/bitcoin/@nashbe/who-is-satoshi-nakamoto-discover-theories-about-the-mysterious-inventor-of-bitcoin
8099	328	0.04049882701568095	true	https://steemit.com/blockchain/@ipchaindatabase/ipchain-where-we-come-from-what-we-do-and-where-we-re-going
6527	267	0.040907001685307184	true	https://steemit.com/art/@zeeshan312/review-on-daraz-pk-an-online-platform-to-earn-and-buy-products-with-quality
6554	7	0.0010680500457735734	false	https://steemit.com/programming/@bibi4537/php-et-les-chaines-de-caracteres
5017	0	0	false	https://steemit.com/bazista/@phionablare/bazista-decentralizovannaya-ploshadki-po-provedeniyu-torgov
5268	246	0.04669703872437358	true	https://steemit.com/cryptocurrency/@outomyelement/cryptocurrency-arbitrage-in-the-us-7-things-learned-this-week
5822	24	0.004122294744074201	false	https://steemit.com/money/@ali.wood/last-hour-price-changes-steem122-btc142-eth001-xrp054-bch118-ltc035-miota136-ada054-dash004-xem080-1514413818
7370	328	0.044504748982360925	true	https://steemit.com/life/@leonid96/it-hurts-me
6358	2	0.00031456432840515884	false	https://steemit.com/cryptocurenccy/@gandiwa/ibiscoin-iic
16149	751	0.04650442751873181	true	https://steemit.com/gravity/@alienscientist/phoenix-and-the-rebirth-of-physics
11306	386	0.03414116398372546	true	https://steemit.com/nigeria/@abbeycity/rabbit-farming-all-you-need-to-know
